route,direction,departure_time,stop_id,weekday,saturday,sunday
122,I,22:30:00,1423,0,1,0
122,I,22:00:00,1423,0,1,0
122,I,23:00:00,1423,0,1,0
122,I,23:30:00,1423,0,1,0
123,O,13:30:00,6057,0,1,0
123,O,12:15:00,6057,0,1,0
123,O,12:30:00,6057,0,1,0
123,O,11:30:00,6057,0,1,0
123,O,13:45:00,6057,0,1,0
123,O,11:45:00,6057,0,1,0
123,O,14:00:00,6057,0,1,0
123,O,12:45:00,6057,0,1,0
123,O,13:00:00,6057,0,1,0
123,O,12:00:00,6057,0,1,0
123,O,14:15:00,6057,0,1,0
123,O,13:15:00,6057,0,1,0
123,O,11:15:00,6057,0,1,0
123,O,10:00:00,6057,0,1,0
123,O,10:15:00,6057,0,1,0
123,O,09:30:00,6057,0,1,0
123,O,10:30:00,6057,0,1,0
123,O,10:45:00,6057,0,1,0
123,O,09:45:00,6057,0,1,0
123,O,11:00:00,6057,0,1,0
123,O,08:00:00,6057,0,1,0
123,O,08:15:00,6057,0,1,0
123,O,07:30:00,6057,0,1,0
123,O,07:45:00,6057,0,1,0
123,O,07:00:00,6057,0,1,0
123,O,07:15:00,6057,0,1,0
123,O,16:45:00,6057,0,1,0
123,O,17:00:00,6057,0,1,0
123,O,17:15:00,6057,0,1,0
123,O,16:30:00,6057,0,1,0
123,O,19:00:00,6057,0,1,0
123,O,19:20:00,6057,0,1,0
123,O,18:30:00,6057,0,1,0
123,O,19:40:00,6057,0,1,0
123,O,20:00:00,6057,0,1,0
123,O,18:45:00,6057,0,1,0
123,O,20:20:00,6057,0,1,0
123,O,22:40:00,6057,0,1,0
123,O,21:20:00,6057,0,1,0
123,O,21:40:00,6057,0,1,0
123,O,20:40:00,6057,0,1,0
123,O,23:00:00,6057,0,1,0
123,O,22:00:00,6057,0,1,0
123,O,22:20:00,6057,0,1,0
123,O,21:00:00,6057,0,1,0
123,O,09:00:00,6057,0,1,0
123,O,09:15:00,6057,0,1,0
123,O,08:30:00,6057,0,1,0
123,O,08:45:00,6057,0,1,0
123,O,15:45:00,6057,0,1,0
123,O,16:00:00,6057,0,1,0
123,O,16:15:00,6057,0,1,0
123,O,15:30:00,6057,0,1,0
123,O,14:30:00,6057,0,1,0
123,O,14:45:00,6057,0,1,0
123,O,15:00:00,6057,0,1,0
123,O,15:15:00,6057,0,1,0
123,O,18:00:00,6057,0,1,0
123,O,18:15:00,6057,0,1,0
123,O,17:30:00,6057,0,1,0
123,O,17:45:00,6057,0,1,0
123,O,23:30:00,6057,0,1,0
123,I,12:20:00,1491,0,1,0
123,I,13:20:00,1491,0,1,0
123,I,11:20:00,1491,0,1,0
123,I,13:35:00,1491,0,1,0
123,I,12:35:00,1491,0,1,0
123,I,12:50:00,1491,0,1,0
123,I,11:35:00,1491,0,1,0
123,I,13:50:00,1491,0,1,0
123,I,11:50:00,1491,0,1,0
123,I,14:05:00,1491,0,1,0
123,I,13:05:00,1491,0,1,0
123,I,12:05:00,1491,0,1,0
123,I,10:05:00,1491,0,1,0
123,I,11:05:00,1491,0,1,0
123,I,10:20:00,1491,0,1,0
123,I,10:35:00,1491,0,1,0
123,I,09:30:00,1491,0,1,0
123,I,09:45:00,1491,0,1,0
123,I,10:50:00,1491,0,1,0
123,I,09:55:00,1491,0,1,0
123,I,08:00:00,1491,0,1,0
123,I,08:15:00,1491,0,1,0
123,I,07:30:00,1491,0,1,0
123,I,07:45:00,1491,0,1,0
123,I,07:00:00,1491,0,1,0
123,I,07:15:00,1491,0,1,0
123,I,16:50:00,1491,0,1,0
123,I,17:05:00,1491,0,1,0
123,I,16:20:00,1491,0,1,0
123,I,16:35:00,1491,0,1,0
123,I,19:10:00,1491,0,1,0
123,I,20:10:00,1491,0,1,0
123,I,19:30:00,1491,0,1,0
123,I,18:20:00,1491,0,1,0
123,I,18:35:00,1491,0,1,0
123,I,18:50:00,1491,0,1,0
123,I,19:50:00,1491,0,1,0
123,I,21:30:00,1491,0,1,0
123,I,22:30:00,1491,0,1,0
123,I,20:30:00,1491,0,1,0
123,I,22:50:00,1491,0,1,0
123,I,21:50:00,1491,0,1,0
123,I,20:50:00,1491,0,1,0
123,I,23:10:00,1491,0,1,0
123,I,21:10:00,1491,0,1,0
123,I,22:10:00,1491,0,1,0
123,I,09:00:00,1491,0,1,0
123,I,09:15:00,1491,0,1,0
123,I,08:30:00,1491,0,1,0
123,I,08:45:00,1491,0,1,0
123,I,15:35:00,1491,0,1,0
123,I,15:50:00,1491,0,1,0
123,I,16:05:00,1491,0,1,0
123,I,15:20:00,1491,0,1,0
123,I,14:35:00,1491,0,1,0
123,I,14:50:00,1491,0,1,0
123,I,15:05:00,1491,0,1,0
123,I,14:20:00,1491,0,1,0
123,I,17:50:00,1491,0,1,0
123,I,18:05:00,1491,0,1,0
123,I,17:20:00,1491,0,1,0
123,I,17:35:00,1491,0,1,0
123,I,23:30:00,1491,0,1,0
13,O,14:15:00,6235,0,1,0
13,O,14:00:00,6235,0,1,0
13,O,12:00:00,6235,0,1,0
13,O,13:00:00,6235,0,1,0
13,O,13:30:00,6235,0,1,0
