,stop_number,stop_address
775,2437,"Kimmage Road West, Brookfield"
776,2438,"Kimmage Rd, Fortfield Road"
777,2439,"Kimmage Rd, Ravensdale Park"
778,2440,"Kimmage Rd, Aideen Avenue"
779,2441,"Kimmage Rd, Community Centre"
780,2442,"Kimmage Rd, Mount Argus Church"
781,2443,"Kimmage Rd, Brookfield"
782,2444,"Kimmage Rd, Mount Argus Road"
783,1344,"Harold's Cross Rd, Greenmount Lane"
784,1345,"Harold's Cross Rd, Le Vere Terrace"
785,1347,"Clanbrassil St, Wesley Place"
786,1348,"South Circular Road, Clanbrassil Street"
787,1349,"South Circular Road, Carlisle Street"
788,1350,"Harrington Street, St. Kevin's Church"
789,1352,"Camden Street, Grantham Street"
790,1353,"Camden Street, Pleasant Street"
791,1355,"Aungier Street, Whitefriars St Church"
792,1357,"George's St, Exchequer Street"
793,1359,"College Green, Foster Place"
814,129,"Glasnevin Avenue, Glasnevin Drive"
815,130,"Glasnevin Avenue, Glasnevin Drive"
816,131,"Glasnevin Avenue, Beneavin Drive"
817,164,"Beneavin Rd, Beneavin Drive"
818,165,"Beneavin Rd, Beneavin Park"
819,166,"Beneavin Rd, Beneavin School"
820,7458,"Ballygall Road West, Ballygall Avenue"
821,4479,"McKee Road, Clune Road"
822,4376,"McKee Road, Clancy Avenue"
823,4377,"McKee Road, Sycamore Road"
824,4890,"Sycamore Rd, McKee Road"
825,4369,"Jamestown Rd, Finglas Business Park"
826,6219,"Charlestown, Melville"
827,6229,"Charlestown, Melville"
828,7131,"Charlestown Rd, Charlestown S.C."
830,2458,"St. James's Road, Limekiln Avenue"
865,6122,"St. Pappin's Road, St. Pappin's Green"
866,35,"St. Pappin's Road, Dean Swift Road"
867,36,"St. Pappin's Road, Maolbuille Road"
872,41,"Home Farm Road, Lambay Road"
873,42,"Home Farm Road, Ferguson Road"
874,43,"Home Farm Road, Achill Road"
884,261,"Parnell Square, Parnell Square North"
886,404,"Nassau Street, South Frederick Street"
887,747,"Kildare Street, Archbishop Statue"
888,842,"St. Stephen's Green, Hume Street"
889,845,"Leeson Street, St. Stephen's Green"
890,846,"Leeson Street, Fitzwilliam Place"
891,847,"Leeson Street, Mespil Road"
892,848,"Sussex Road, Burlington Road"
893,849,"Appian Way, Leeson Street"
894,850,"Chelmsford Road, Sallymount Avenue"
895,851,"Chelmsford Road, Ranelagh"
896,852,"Ranelagh Village, Chelmsford Lane"
897,853,"Sandford Road, Marlborough Road"
898,854,"Sandford Road, Larch Grove"
899,855,"Sandford Road, Belmont Avenue"
900,856,"Clonskeagh Rd, Eglinton Road"
901,857,"Clonskeagh Rd, Clonskeagh Hospital"
902,858,"Clonskeagh Rd, Beech Hill"
903,859,"Clonskeagh Rd, Whitethorn Road"
904,860,"Clonskeagh Rd, UCD"
905,861,"Roebuck Road, Bird Avenue"
906,862,"Roebuck Road, Islamic Centre"
907,3014,"Goatstown Rd, Harlech Downs"
908,3015,"Goatstown Rd, Larchfield Road"
909,3016,"Goatstown Rd, Willowfield Avenue"
910,3017,"Goatstown Rd, Hollywood Park"
911,3018,"Drummartin Rd, Drummartin Terrace"
912,3019,"Drummartin Rd, Kilmacud Lawn"
