stop_number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
128,17A,,,,,,,,,,,,,,,,,,,,,,
129,17A,9,,,,,,,,,,,,,,,,,,,,,
130,9,17A,,,,,,,,,,,,,,,,,,,,,
131,17A,9,,,,,,,,,,,,,,,,,,,,,
132,17A,,,,,,,,,,,,,,,,,,,,,,
133,83A,83,,,,,,,,,,,,,,,,,,,,,
134,83,83A,,,,,,,,,,,,,,,,,,,,,
136,9,220,,,,,,,,,,,,,,,,,,,,,
137,220,9,,,,,,,,,,,,,,,,,,,,,
138,9,83A,83,17A,,,,,,,,,,,,,,,,,,,
139,17A,,,,,,,,,,,,,,,,,,,,,,
140,17A,,,,,,,,,,,,,,,,,,,,,,
141,17A,9,,,,,,,,,,,,,,,,,,,,,
142,9,17A,,,,,,,,,,,,,,,,,,,,,
143,17A,9,,,,,,,,,,,,,,,,,,,,,
146,9,4,,,,,,,,,,,,,,,,,,,,,
147,4,9,,,,,,,,,,,,,,,,,,,,,
148,9,4,,,,,,,,,,,,,,,,,,,,,
149,4,9,,,,,,,,,,,,,,,,,,,,,
150,9,4,,,,,,,,,,,,,,,,,,,,,
151,83,83A,,,,,,,,,,,,,,,,,,,,,
153,83A,83,,,,,,,,,,,,,,,,,,,,,
154,83,83A,,,,,,,,,,,,,,,,,,,,,
155,83A,83,,,,,,,,,,,,,,,,,,,,,
156,83,83A,,,,,,,,,,,,,,,,,,,,,
157,83A,,,,,,,,,,,,,,,,,,,,,,
158,83A,,,,,,,,,,,,,,,,,,,,,,
159,83A,,,,,,,,,,,,,,,,,,,,,,
164,9,,,,,,,,,,,,,,,,,,,,,,
165,9,,,,,,,,,,,,,,,,,,,,,,
166,9,,,,,,,,,,,,,,,,,,,,,,
167,9,,,,,,,,,,,,,,,,,,,,,,
168,9,,,,,,,,,,,,,,,,,,,,,,
169,9,,,,,,,,,,,,,,,,,,,,,,
173,83A,,,,,,,,,,,,,,,,,,,,,,
174,83A,,,,,,,,,,,,,,,,,,,,,,
175,83A,83,,,,,,,,,,,,,,,,,,,,,
176,83,83A,,,,,,,,,,,,,,,,,,,,,
177,83,,,,,,,,,,,,,,,,,,,,,,
178,83,,,,,,,,,,,,,,,,,,,,,,
179,83,,,,,,,,,,,,,,,,,,,,,,
181,83,83A,,,,,,,,,,,,,,,,,,,,,
182,83A,83,,,,,,,,,,,,,,,,,,,,,
183,83,83A,,,,,,,,,,,,,,,,,,,,,
184,83A,83,4,9,,,,,,,,,,,,,,,,,,,
185,9,4,83,83A,,,,,,,,,,,,,,,,,,,
186,83A,83,4,40,9,140,40B,40D,,,,,,,,,,,,,,,
187,140,9,40,4,83,83A,,,,,,,,,,,,,,,,,
188,83A,83,4,40,9,140,,,,,,,,,,,,,,,,,
189,140,9,40,4,83,83A,,,,,,,,,,,,,,,,,
190,83A,83,4,40,9,140,,,,,,,,,,,,,,,,,
191,140,9,4,,,,,,,,,,,,,,,,,,,,
192,40,38D,38B,120,46A,38,38A,,,,,,,,,,,,,,,,
193,220,9,,,,,,,,,,,,,,,,,,,,,
194,9,140,4,,,,,,,,,,,,,,,,,,,,
195,4,83,83A,140,9,,,,,,,,,,,,,,,,,,
196,9,140,83A,83,4,,,,,,,,,,,,,,,,,,
197,4,83,83A,140,9,,,,,,,,,,,,,,,,,,
198,9,140,83A,83,4,,,,,,,,,,,,,,,,,,
199,4,83,83A,140,9,,,,,,,,,,,,,,,,,,
200,9,83A,83,4,,,,,,,,,,,,,,,,,,,
201,4,83,83A,9,,,,,,,,,,,,,,,,,,,
202,83A,83,,,,,,,,,,,,,,,,,,,,,
203,41B,41,44,41C,1,16,33,,,,,,,,,,,,,,,,
204,33,16,1,41C,44,41,41B,,,,,,,,,,,,,,,,
205,41B,41,44,41C,1,16,33,,,,,,,,,,,,,,,,
206,44,,,,,,,,,,,,,,,,,,,,,,
207,44,,,,,,,,,,,,,,,,,,,,,,
208,44,16,16C,,,,,,,,,,,,,,,,,,,,
209,16C,16,44,,,,,,,,,,,,,,,,,,,,
210,44,16C,16,,,,,,,,,,,,,,,,,,,,
211,16,16C,44,,,,,,,,,,,,,,,,,,,,
212,44,16C,16,,,,,,,,,,,,,,,,,,,,
213,16,16C,33,44,41,41A,41C,41B,1,,,,,,,,,,,,,,
214,1,41B,41C,41A,41,44,33,16C,16,,,,,,,,,,,,,,
215,16,16C,,,,,,,,,,,,,,,,,,,,,
216,16C,16,14,,,,,,,,,,,,,,,,,,,,
217,14,16,16C,,,,,,,,,,,,,,,,,,,,
218,16C,16,104,,,,,,,,,,,,,,,,,,,,
219,104,16,16C,,,,,,,,,,,,,,,,,,,,
220,16,33,104,41,41C,41B,1,,,,,,,,,,,,,,,,
221,1,104,,,,,,,,,,,,,,,,,,,,,
222,104,1,,,,,,,,,,,,,,,,,,,,,
223,1,104,,,,,,,,,,,,,,,,,,,,,
224,104,1,,,,,,,,,,,,,,,,,,,,,
225,1,104,,,,,,,,,,,,,,,,,,,,,
226,104,16,1,,,,,,,,,,,,,,,,,,,,
